id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
449579,CLAM BROTH IN CUP WITH CREAM,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
463897,CONSOMME EN TASSE,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
420294,FINE TABLE CLARET,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
438681,GRILLED POTATOES,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
439230,SMALL PORTION TONGUE POTATO SALAD,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
465462,SPAGHETTI AU GRATIN,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
479523,CONSOMME IN CUP,2,2,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.25
449634,FRENCH BRANDY VOP,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.4
453450,CALFS FOOT À LA WINDSOR,2,2,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.4
453938,WINE CUPS,3,3,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.25,0.75
438682,CREAM PUFFS A LA VANILLE,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.3,0.3
449307,EGGS IN BROWN BUTTER,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.3,0.3
428713,FRIED OYSTERS,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.3,0.3
449302,ROASTED OATS WITH CREAM,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.3,0.3
462673,MOCK TURTLE SOUP ENGLISH STYLE,3,3,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.3,0.3
470786,CLAM COCKTAIL DOZEN,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.35,0.35
447178,TEA WITH CREAM,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.35,0.35
447175,PICKLED PIGS FEET,1,1,1900-01-01T01:00:00Z,1900-01-01T01:00:00Z,0.4,0.4
