id,name,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
83095,CHATEAU LAFITTE 1848 QUARTS,1,1,1/1/1864,1/1/1864,4.5,4.5
83096,BASSE RAYEE AUX FINES HERBES,1,1,1/1/1906,1/1/1906,0.8,0.8
83097,CHATEAU MARGAUX 1848 QUARTS,1,1,1/1/1864,1/1/1864,4.5,4.5
83098,CHATEAU MARGAUX 1851 QUARTS,1,1,1/1/1864,1/1/1864,4,4
83099,CARRE DE PORC BOULANGERE,3,3,1/1/1906,1/1/1906,0.45,0.8
83100,SIRLOIN STEAK EN CASSEROLE,3,3,1/1/1900,1/1/1900,0.75,0.8
83101,CHATEAU MARGAUX PINTS,1,1,1/1/1864,1/1/1864,1.5,1.5
83102,BAKED CHICKEN HALIBUT PORT WINE SAUCE POTATOES PARISIENNE,1,1,1/1/1900,1/1/1900,0.3,0.4
83103,POULET SAUTE BELLE MEUNIERE,2,2,1/1/1906,1/1/1906,2.5,2.5
83104,CHATEAU MARGAUX QUARTS,1,1,1/1/1864,1/1/1864,2,2
83105,SMALL SIRLOIN STEAK ONIONS,1,1,1/1/1900,1/1/1900,1,1
83106,MEDAILLONS DE VEAU JUSSIEN,2,2,1/1/1906,1/1/1906,0.7,1.25
83107,RUDESHEIMER ENGELWEG DEINHARDT CO,1,1,1/1/1900,1/1/1900,0.3,0.5
83108,EPIGRAMMES DAGNEAU VERTPRE,1,1,1/1/1906,1/1/1906,0.45,0.8
83109,ST JULIEN QUART,1,1,1/1/1864,1/1/1864,1.5,1.5
83110,PANIERS ET CORBEILLES EN SUCRE,1,1,1/1/1864,1/1/1864,0.75,0.75
83111,ROGNONS CENTGARDE,1,1,1/1/1906,1/1/1906,0.6,0.6
83114,ERNEST IRROY COS GOLDEN STAR PINTS,1,1,1/1/1864,1/1/1864,1,1
83115,E LAIBLIN COS NECKAR WHITE SEAL PTS,1,1,1/1/1864,1/1/1864,1,1
83119,BROILED TENDERLOIN STEAK,11,11,1/1/1900,1/1/1920,0.14,1.5
83120,SPECIALTYPOUSSE CAFE AU CHAT NOIR,1,1,1/1/1864,1/1/1864,1.75,1.75
83121,SILLERY SUPERIOR CHS FARRE,1,1,1/1/1864,1/1/1864,3.5,3.5
83122,SIRLOIN STEAK SAUCE BORDELAISE,2,2,1/1/1900,1/1/1900,0.8,0.9
83124,VIN IMPERIAL CHS FARRE PINTS,1,1,1/1/1864,1/1/1864,2,2
83125,TENDERLOIN STEAK EN CASSEROLE,2,2,1/1/1900,1/1/1900,0.8,0.9
83126,VIN IMPERIAL CHS FARRE,1,1,1/1/1864,1/1/1864,4,4
